company_name,registered,company_age,valid_address,domain_age,listed_in_gov_db,has_audited_reports,is_fraud
Parsons-Russell,1,7,0,15,1,1,0
"Jackson, Green and Robles",0,39,1,19,1,1,0
Morris-Ferrell,1,0,1,12,1,1,0
"Wright, Adams and Bowman",0,39,1,18,0,0,1
Mcdonald-Young,1,18,0,0,1,0,1
"Graham, Castaneda and Hodge",0,15,0,7,1,1,1
Mccann-Jones,0,11,1,9,1,0,1
Calderon-Ford,1,16,1,18,0,1,0
Harrison Inc,0,49,1,19,0,1,0
Moore-Evans,0,35,1,1,0,1,1
Boone Inc,0,22,1,2,0,1,1
Rodriguez-Fisher,1,20,1,11,1,1,0
Sanchez-Green,1,8,0,15,1,1,0
Aguilar PLC,1,48,1,8,1,1,0
"Jones, Taylor and Brooks",1,4,0,3,0,1,1
Sosa-Parker,0,47,0,6,0,0,1
"Hill, Collins and Henderson",0,32,0,12,1,1,1
Garrett-Harrell,0,14,0,0,0,0,1
Walker and Sons,0,45,0,19,0,0,1
Brown Group,0,42,0,15,0,0,1
Simmons-Yang,0,21,1,15,1,1,0
"Shaw, Andrews and Smith",1,6,1,20,1,1,0
"Ward, Hoffman and Berry",1,24,1,17,0,0,0
Bauer and Sons,1,49,1,19,1,1,0
Page LLC,0,25,1,15,1,0,1
Moore-Schultz,1,35,1,11,0,1,1
Castillo and Sons,1,2,0,7,0,1,1
"Martinez, Lucas and Duran",0,14,0,7,0,1,1
Jones LLC,1,33,0,18,1,0,1
Meyer-Ramos,1,9,1,15,1,1,1
Garza-Miller,1,9,0,20,1,0,1
Jones-Thomas,0,42,1,19,0,1,1
Burns-Clark,0,17,0,1,0,1,1
"Navarro, Martin and Baker",0,28,0,8,0,0,1
Parker-Gonzalez,1,29,1,8,0,1,0
Sanchez-Brown,0,3,1,5,0,0,1
"Cruz, Johnson and Robertson",0,35,0,4,1,1,0
Hernandez-Henry,1,45,1,2,1,1,0
Rodriguez-Young,1,0,1,15,1,0,1
Garcia-Pham,1,21,0,11,1,1,1
Powers PLC,1,43,1,2,1,1,0
Orozco LLC,0,40,1,18,1,1,0
"Galvan, Stewart and Rodriguez",0,38,1,7,1,0,1
Powers Inc,1,32,0,5,1,1,0
Davis Group,1,27,1,15,1,1,0
Snyder-Burns,0,34,1,2,0,1,1
Farley-Griffin,1,12,1,15,1,1,1
Robinson-Porter,1,50,0,15,1,0,1
Rice-Cunningham,0,9,0,18,0,1,1
Brown Ltd,0,10,1,19,0,0,1
Wilkinson-Holmes,0,33,0,9,1,0,1
"Norton, White and Mitchell",1,22,0,16,1,0,1
"Fowler, Fernandez and Pena",0,42,0,14,1,1,0
Oliver Group,0,35,1,8,0,1,1
Wilson-Walker,0,6,1,7,1,1,0
"Valencia, Harris and Palmer",1,7,1,16,1,1,1
Harrison PLC,0,44,1,14,1,0,0
"Cooper, Black and Johnston",1,6,1,10,1,0,0
Mccall-Shaffer,1,11,1,4,1,0,1
"Goodman, Jackson and Richmond",1,7,0,7,1,0,0
"Lopez, Hobbs and Morris",0,7,1,4,0,1,0
Williams LLC,0,42,1,2,1,1,0
Jackson PLC,1,25,1,18,0,1,0
Miller Inc,1,13,1,3,1,1,0
Berger PLC,0,36,1,6,1,0,0
"Franklin, Sandoval and Zamora",1,12,0,4,1,0,1
Calderon LLC,1,37,1,17,1,1,1
"Nicholson, Melton and Ross",1,45,0,15,0,1,1
Williams-Herring,1,18,0,6,1,1,0
"Kelly, Lopez and Vaughan",1,22,1,9,1,0,1
Mccoy Group,0,5,0,4,1,0,0
Higgins Inc,0,24,1,13,0,1,1
Buck-Richard,0,18,1,19,1,1,1
Valentine PLC,1,45,1,0,1,0,0
Ferguson Group,1,43,0,11,0,0,1
Black Inc,0,18,0,20,1,0,1
Carroll-Ferguson,0,20,0,10,0,0,1
Hess-Gates,0,2,1,13,0,0,1
Long-Miller,1,22,1,8,1,0,1
"Maldonado, Reilly and Moore",0,25,0,16,0,0,1
"Morgan, Walker and Cohen",1,10,1,19,1,1,0
Jackson PLC,1,25,1,18,0,1,0
"Henry, Franco and Coleman",1,43,0,3,0,1,1
"Simpson, Sanchez and Fitzgerald",1,40,0,11,1,0,1
May-Torres,0,24,0,13,1,1,1
"Hughes, Nichols and Morgan",0,30,0,6,1,0,1
"Leon, King and Johnson",0,34,1,1,0,0,1
Simpson Inc,1,28,0,4,0,1,1
Heath-Collins,1,48,0,18,1,1,0
Anderson Ltd,1,18,1,3,1,0,1
Hayes-Ali,1,11,0,1,0,1,0
"Rodriguez, Ramirez and Nunez",1,21,1,8,0,0,1
Wells Group,0,41,1,0,1,1,1
Morales-Swanson,0,5,1,2,0,1,0
Morrison PLC,1,9,1,20,0,1,1
Williams PLC,1,36,0,9,0,0,1
"Key, Johnson and Robinson",1,23,1,9,1,0,1
"Henderson, Love and Curtis",0,0,0,2,1,1,1
Woods-Schmitt,0,9,1,9,0,1,1
Watson Group,0,35,1,7,1,0,0
"Burns, Taylor and Anthony",1,12,0,13,1,0,1
Roth-Campos,1,31,1,3,0,1,1
"Hendrix, Thomas and Richardson",0,9,1,16,1,1,0
Green Ltd,1,2,1,2,1,1,0
Le Inc,1,47,1,18,1,0,1
Williams-Jones,1,26,0,2,1,1,0
"Howard, Richard and Shaw",0,40,0,10,0,1,1
Ochoa-Peck,1,42,0,5,0,1,1
"Murphy, Martin and Carter",0,8,0,10,1,0,1
Gross-Woods,1,17,1,3,1,0,0
Collins LLC,1,4,1,16,0,1,0
Williams Ltd,0,7,0,9,1,0,1
Carroll and Sons,1,3,0,7,0,0,1
"Fisher, Young and Robinson",0,30,1,18,0,1,0
Garcia-Taylor,0,28,1,1,0,1,1
Romero-Daniels,1,11,0,16,0,0,1
Henderson Ltd,0,42,1,7,1,0,0
Harding Inc,1,10,1,16,0,1,1
"Blair, Thomas and Scott",1,36,0,12,0,0,1
Larson-Daniel,1,5,1,2,1,1,0
"Moore, Gomez and Adams",1,6,1,10,0,1,0
"Wood, Johnson and Meyers",0,24,0,11,1,1,0
Rodriguez-Fisher,1,20,1,11,1,1,0
Thompson Ltd,1,7,1,16,1,1,0
Beasley Group,1,11,1,15,0,0,1
Morrow-Cruz,1,48,1,10,1,0,0
Hall PLC,1,9,0,2,1,1,1
Paul LLC,1,24,1,6,0,0,0
"Hogan, Oliver and Hernandez",1,31,0,18,0,1,1
Wilson-Cole,1,27,0,11,0,1,1
Davis Ltd,0,3,1,7,0,1,1
Brown-Hawkins,0,21,0,14,1,1,1
Tapia Ltd,0,7,0,8,1,1,1
"Carter, Parker and Hernandez",0,27,1,14,1,1,0
"Ray, Barnett and Johnson",1,47,0,3,0,1,1
Thomas Inc,1,14,1,14,1,0,0
Lyons-Hernandez,1,49,1,10,1,1,0
"Hicks, Scott and Holloway",0,9,1,20,1,1,0
Pena LLC,0,35,1,2,1,0,1
Kelley-Parker,0,42,0,5,0,1,1
Johnson Ltd,0,46,1,2,1,1,1
Singh Inc,0,4,1,14,0,0,1
"Morgan, Walker and Cohen",1,10,1,19,1,1,0
"Becker, Sanchez and Rivers",0,38,1,0,1,0,1
"Roberts, Boyd and Thompson",0,26,0,5,0,1,0
Williams PLC,0,39,0,2,1,1,1
Jones Ltd,1,0,1,15,1,0,1
"Bradshaw, Johnson and Griffith",1,44,0,17,1,0,1
Collins-Hoffman,0,16,0,5,0,1,1
Burns Group,0,17,1,6,0,1,1
"White, Morris and English",0,39,0,16,0,0,1
"Hendrix, Thomas and Richardson",0,9,1,16,1,1,0
Alvarez and Sons,1,5,1,19,0,1,0
Fisher LLC,1,15,0,19,0,1,1
Sanders and Sons,1,17,0,17,1,1,0
Rice PLC,0,33,1,20,1,1,0
Taylor-Clay,1,9,1,5,1,0,1
Lamb Group,1,12,1,4,1,0,0
Garrison Inc,1,31,1,4,1,1,0
Frazier-Maxwell,0,40,1,0,0,1,0
Lewis LLC,0,1,0,9,1,1,0
"Johnson, Bell and Baird",0,30,1,14,1,1,0
"Hernandez, Shepherd and Carlson",0,3,1,3,0,0,1
Sanchez LLC,1,35,0,1,1,1,0
Phillips and Sons,0,45,1,15,0,1,0
Mora-Campbell,0,21,0,4,1,1,1
"Edwards, Stewart and Carter",1,0,1,2,1,1,0
Smith LLC,1,18,1,3,1,1,0
"Alvarez, Morris and Brown",1,33,0,6,0,1,1
Tucker-Levy,0,11,0,4,0,1,1
Keith-Mcneil,1,22,1,18,0,1,0
Taylor and Sons,0,34,1,0,0,1,0
"Santos, Nguyen and Harris",1,23,1,6,1,0,1
Cowan Ltd,0,18,0,6,1,1,1
Bolton PLC,1,15,1,11,1,1,0
Howard PLC,0,10,0,18,0,0,1
Shaw-Griffin,0,5,1,18,0,1,1
Velez PLC,0,7,1,8,0,0,1
Walker Ltd,1,28,1,13,1,1,0
Edwards Inc,1,48,0,16,0,1,0
Warner PLC,1,23,0,19,0,0,1
"Le, Conner and Smith",1,45,1,18,0,0,0
"Thomas, Parker and Garcia",0,50,1,18,1,0,1
West-Kirk,0,1,1,4,1,0,1
"Hinton, Stewart and Beard",1,8,0,13,0,1,1
Riley-Armstrong,1,39,1,20,1,0,0
Suarez-Obrien,1,44,1,15,0,1,0
Williams-Underwood,1,6,1,14,1,1,0
"Medina, Wright and James",1,45,1,6,0,1,0
"Anderson, Garcia and Bond",1,45,1,13,0,1,0
Johnson-Foster,0,36,1,4,1,0,1
Pena PLC,0,42,0,18,1,0,1
Johnson-Martinez,0,20,0,18,1,1,1
"Miller, Greene and Davis",0,49,0,13,1,0,1
Johnson PLC,0,7,1,7,1,0,0
"Stephenson, Castillo and Porter",0,10,1,4,1,0,1
Jones-Morrow,1,13,0,2,1,1,1
Robinson-Torres,1,27,0,4,0,0,1
"Marshall, Rodriguez and Trevino",0,40,1,8,1,1,0
Johnson-Dickerson,1,21,0,7,1,1,1
Brown PLC,0,33,1,7,1,1,0
Lam-Jones,0,23,1,12,1,0,1
Cole LLC,1,25,1,14,1,0,1
Oliver PLC,1,0,1,1,1,0,0
Carter-Leonard,1,27,1,15,1,1,1
Edwards Inc,1,48,0,16,0,1,0
"Frank, Beltran and Johnson",1,23,1,20,1,1,0
"Jackson, Anderson and Hardy",0,20,1,19,0,0,1
"Watson, Lopez and Vazquez",0,44,1,14,1,1,0
"Dean, Smith and Klein",1,18,1,12,1,1,0
Rice-Randall,1,24,0,1,1,1,1
Lopez Inc,1,22,1,8,0,0,0
Williams Ltd,1,20,1,12,1,1,0
"Johnson, Levy and Gonzalez",1,5,0,10,1,1,1
Gonzalez Inc,1,22,1,6,1,1,0
Parker Inc,1,5,1,0,1,1,0
Adams PLC,0,3,0,18,1,0,1
Steele and Sons,0,34,1,11,1,1,0
"Meyers, Medina and Carr",1,24,1,4,0,0,1
Haynes Ltd,0,26,1,20,1,0,0
Thomas-Walters,0,9,0,8,1,1,0
"Murray, Patel and West",0,23,0,19,1,0,1
Haley PLC,1,14,0,15,0,1,1
"Myers, Wood and Richardson",1,15,1,2,1,0,1
Allen-Russell,0,25,0,6,1,1,0
Johnson Inc,0,6,1,4,0,0,0
Frazier-Maxwell,0,40,1,0,0,1,0
Lamb Group,1,12,1,4,1,0,0
Daniels-Spencer,0,33,1,12,1,1,0
"Berry, Hess and Morrow",1,28,0,3,1,1,0
Smith PLC,1,3,0,8,1,0,1
Cross-Duffy,0,10,1,19,1,0,1
"Lopez, Stafford and Cruz",0,28,0,10,1,0,1
Roman Group,1,14,1,11,1,0,0
"Perez, Fischer and Prince",1,46,1,7,0,1,1
"James, Burton and Kennedy",1,9,1,9,0,1,0
"Cabrera, Steele and Scott",1,34,0,15,1,0,0
"Vasquez, Gibson and Allen",0,30,0,19,1,1,1
Lewis LLC,0,1,0,9,1,1,0
"Diaz, Morris and James",1,34,0,9,0,0,1
"Mccoy, Woodard and Reed",1,47,0,1,0,0,1
Jackson-Mcguire,0,6,0,19,0,1,1
"Evans, Barber and Davidson",1,34,0,20,0,0,1
"Williams, Bryant and Fuller",1,47,1,3,0,1,0
"Cordova, Tran and Yang",1,23,0,3,1,1,1
Meadows PLC,1,1,1,6,1,0,0
Rodriguez-Flynn,1,15,0,0,0,0,1
Wright-Burton,1,46,0,20,1,1,0
"Wilson, Davis and Brennan",0,39,1,7,1,1,0
Lee-Melendez,1,48,1,13,1,0,0
"Smith, Graham and Marquez",1,18,0,20,0,1,1
"Perez, Callahan and Duke",0,40,1,7,0,0,1
Holmes Inc,1,9,0,20,1,1,0
Mills Ltd,0,30,0,18,0,0,1
Keller Group,0,3,0,2,0,0,1
Oliver PLC,1,0,1,1,1,0,0
Ford Ltd,1,24,0,3,1,1,0
Fox Ltd,0,7,0,6,1,0,1
"Mcconnell, Long and Mccoy",1,30,0,20,1,1,1
"Rivera, Drake and Taylor",0,25,1,6,1,1,0
Benson-Gonzalez,0,42,0,20,1,0,1
Gallagher-Duffy,0,39,0,20,1,0,1
"Sanchez, Tran and Jones",1,35,0,10,1,0,1
Green-Wilson,1,9,0,12,1,1,0
Watts Inc,1,5,1,14,1,0,0
Lopez-Holden,1,17,1,15,1,1,0
"Hines, Thomas and Rodriguez",1,22,1,1,1,1,0
Turner LLC,1,6,1,5,0,0,1
Smith-Brown,1,32,0,14,0,0,1
Boyd-Owens,0,30,0,8,1,0,1
Mckenzie and Sons,0,36,1,16,1,1,0
Ibarra-Long,1,35,0,10,0,0,1
"Graves, Wong and Henderson",1,3,1,11,1,1,0
"Schultz, Fields and Roberts",0,29,0,6,0,1,1
Mckinney Ltd,1,18,0,4,1,0,0
Brown and Sons,0,33,1,2,1,1,0
Matthews-Hartman,1,35,1,10,1,0,1
Perry Inc,1,10,0,8,1,0,0
Bailey LLC,0,0,1,12,1,1,0
Little Inc,0,2,1,10,1,1,1
Gutierrez-Moore,1,11,1,1,0,0,1
Schneider-Smith,0,7,0,4,0,1,1
Hudson-Reid,1,48,1,16,1,1,1
Knight LLC,0,7,0,15,0,1,1
Maddox LLC,0,26,1,12,1,1,0
George and Sons,0,19,0,16,1,1,1
"Alvarado, Smith and Smith",0,27,1,20,1,1,1
Fields-Johnson,1,1,1,20,0,0,0
Flores-Melton,1,46,1,13,1,1,0
Ramirez and Sons,1,3,1,3,0,1,1
Hunt LLC,0,19,0,3,1,0,1
Moore Group,1,22,1,18,0,0,0
Wright-Johnson,1,23,1,7,0,0,1
"Carpenter, Wilcox and Walker",0,35,1,5,1,1,1
"Moore, Hayes and Barron",1,40,0,1,0,1,1
Rodriguez-Thompson,1,50,0,13,0,1,1
Reese Inc,1,41,1,6,1,0,1
Holloway-Watson,1,15,1,18,0,1,1
Rangel-Phillips,1,0,1,14,1,1,1
Gomez Ltd,0,28,1,4,1,1,0
Davis-Kaiser,1,6,1,17,0,0,0
"Medina, Wright and James",1,45,1,6,0,1,0
Calhoun Ltd,1,0,0,20,1,1,0
"Martin, Lane and Murphy",0,46,0,11,0,1,1
Mcgrath and Sons,0,33,1,1,0,0,1
"Garcia, Chavez and Harper",0,5,0,7,1,0,1
"Jordan, Murphy and Lowe",0,29,0,10,0,1,1
Petersen PLC,1,39,1,1,1,1,0
"Marshall, Hill and Gonzalez",1,28,0,12,0,0,1
"Rodriguez, Gilbert and Nunez",1,10,0,20,1,0,1
Thompson-Cruz,1,14,1,0,1,0,1
Brooks-Bridges,0,25,1,1,0,0,0
Maddox LLC,0,26,1,12,1,1,0
Davis-Reyes,0,39,0,9,1,0,1
Graham and Sons,0,22,1,6,1,1,0
Harrison Ltd,0,46,0,10,0,0,1
Nolan-Barrett,0,38,0,0,0,0,1
Taylor Ltd,0,16,1,5,1,0,1
Trujillo Inc,0,41,1,8,1,1,0
Mendez LLC,0,16,0,12,0,0,1
"Hickman, Romero and Baker",1,8,1,11,0,1,1
Jones-Deleon,1,33,1,5,1,0,0
"Elliott, Ramirez and Rogers",1,38,1,12,1,1,0
Green-Warner,1,18,0,20,1,1,0
Friedman PLC,1,41,0,8,0,0,1
Bryan PLC,1,9,0,7,1,1,0
"Green, Lindsey and Nunez",0,18,1,20,1,1,0
Perkins Ltd,1,27,1,15,1,1,0
Oconnell-Boyd,1,5,0,5,0,0,0
Fields-Johnson,1,1,1,20,0,0,0
Watson Inc,0,15,0,9,0,0,1
Harris-Owens,1,35,0,4,0,1,1
Spencer-Ryan,0,50,1,4,0,1,1
"Adams, Garcia and Perez",1,34,1,14,1,0,1
"Hudson, Dunn and Rice",0,8,1,17,1,0,1
Jordan-Stanley,0,24,1,18,1,0,1
"Estrada, Lopez and Lee",1,5,1,7,0,1,1
"Eaton, Brown and Simon",1,30,0,12,1,0,0
Jennings-Lee,0,45,1,0,0,0,1
Taylor PLC,1,27,0,11,1,1,1
"Scott, Hicks and Thompson",1,23,1,4,0,1,0
Delgado-Johnson,1,13,0,5,1,0,1
Johnson-Christian,1,34,0,13,0,1,1
"Johnson, Schwartz and Ryan",0,25,1,6,1,0,0
Wilkins-Ward,0,25,1,4,1,0,1
Harris LLC,0,20,1,14,0,1,0
Hill-Gonzalez,1,3,0,9,1,1,1
"Lin, Smith and Krueger",0,2,1,19,1,0,1
Fitzpatrick-Benson,0,1,1,13,1,1,0
"Dickerson, Mejia and Flores",0,34,1,9,0,1,1
Briggs-Johnson,1,4,1,20,1,0,0
"Nguyen, Graham and Morales",0,1,1,20,1,1,0
"Erickson, Nichols and Stanton",0,3,0,0,1,1,1
"Garrett, Underwood and Robles",1,48,1,9,1,1,1
"Nichols, Bruce and Gonzalez",0,45,1,19,1,1,1
"White, Perkins and Holt",1,7,1,6,0,0,0
Leon-Gardner,0,19,1,11,1,1,0
Baldwin-Clark,1,2,1,5,1,0,0
Johnson-Garcia,1,48,1,18,1,0,0
Clark-Boyd,0,20,0,18,0,1,1
Hines-Barrett,0,16,0,9,0,1,1
"Ward, Smith and Williams",1,8,1,19,1,1,0
"Baldwin, Vincent and Adkins",0,4,0,3,1,0,1
"Ellis, Maxwell and Simpson",0,48,0,14,0,1,0
Hicks and Sons,1,19,0,3,0,1,1
Tapia and Sons,1,45,1,1,0,1,0
"Green, Glover and Bright",1,2,0,7,1,0,0
Graham-Padilla,1,1,1,0,0,1,0
Pearson and Sons,0,2,0,4,0,0,1
Boyd-Thomas,0,48,0,16,0,0,1
Blackburn Ltd,1,18,0,11,0,0,1
"Estrada, Vega and Walker",0,40,0,12,1,0,1
Brown PLC,0,33,1,7,1,1,0
Graham-Padilla,1,1,1,0,0,1,0
"Nicholson, Yang and Brown",1,44,0,10,0,0,1
Williams LLC,0,42,1,2,1,1,0
Koch-Chapman,0,38,1,10,1,1,0
Johnson-Garcia,1,48,1,18,1,0,0
Williams-Moore,1,19,1,16,1,1,0
Barber PLC,0,7,0,17,1,0,1
"Simmons, Martin and Mitchell",1,28,1,19,1,0,1
"Lopez, Sanchez and Harvey",0,39,1,9,1,1,1
Walker Ltd,1,28,1,13,1,1,0
"Summers, Barber and Porter",1,45,1,5,1,1,0
"Garcia, Hale and Fleming",0,25,0,16,1,1,0
"Payne, Berger and Santos",0,1,1,14,1,1,1
"Smith, Gould and Smith",0,44,1,10,1,0,1
Adams-Russell,1,43,1,17,0,0,1
"Hayes, Burton and White",1,47,1,2,0,1,0
"Ibarra, Williams and Johnson",1,33,1,3,1,0,1
"Mills, George and Hoffman",0,48,1,16,0,0,1
Evans LLC,1,26,1,17,1,1,1
Paul LLC,1,24,1,6,0,0,0
Hernandez and Sons,1,8,0,14,1,1,0
"Miller, Thompson and Everett",0,23,0,1,1,0,1
Evans LLC,1,9,0,20,1,0,0
Wilson LLC,0,45,1,7,0,1,1
"Murphy, Lane and Baird",1,29,0,3,0,0,1
Allen-Macdonald,1,8,0,17,1,0,1
Frost Group,1,38,1,8,1,0,1
"Johnston, Howe and Turner",1,12,0,10,0,0,1
Miller-Oliver,0,32,0,6,1,1,1
Barnes-Carter,0,37,1,5,1,1,0
Blackwell Ltd,0,32,0,7,1,1,1
Diaz LLC,0,1,0,2,0,1,1
Casey and Sons,1,36,1,12,0,1,0
Rivera Ltd,0,35,0,14,1,1,1
King Ltd,1,14,1,11,1,1,1
Anderson-Nelson,1,0,1,1,1,1,1
"Becker, Hill and Castaneda",1,4,1,18,0,1,0
Dean PLC,1,3,1,20,1,0,0
Sanders LLC,1,41,0,9,1,0,0
"Roberson, Pearson and Cox",1,44,1,9,0,1,1
Moore Ltd,1,23,1,10,1,1,0
Mccarty PLC,0,16,1,8,0,1,1
Brown-Mitchell,1,45,1,8,0,1,0
Higgins-Smith,1,20,0,14,0,1,1
Glass-Frye,1,5,1,5,0,1,0
Frazier Group,1,25,0,0,1,1,1
Mayer Inc,1,17,0,19,1,0,1
Schultz Inc,1,3,1,3,0,0,1
Sanders and Sons,1,17,0,17,1,1,0
Gillespie and Sons,1,16,1,9,1,0,1
King-Mcfarland,0,11,1,4,0,0,1
"Hampton, Kelly and Smith",0,39,0,20,1,1,0
"Thompson, Lopez and Murphy",0,4,0,3,1,1,0
Williams-Underwood,1,6,1,14,1,1,0
Torres-Lambert,0,22,0,0,1,1,1
Brown-Mitchell,1,45,1,8,0,1,0
Hayes-Hicks,0,44,1,5,0,1,0
Mitchell-Hughes,0,16,1,1,1,1,0
"Sullivan, Knight and Myers",0,2,1,17,0,1,0
Bender Inc,0,46,0,15,1,1,1
Kidd-Clark,1,19,1,3,0,1,1
Bates-Rodriguez,1,38,1,16,1,1,0
"Gonzalez, Morris and Lynch",0,6,0,8,1,1,1
"Fisher, Young and Robinson",0,30,1,18,0,1,0
Robinson and Sons,0,36,1,4,1,1,0
Ryan Ltd,0,31,1,15,0,1,1
"Brown, Ellis and Lane",1,38,0,3,0,1,1
"Holloway, Oneill and Garrett",1,45,0,2,0,1,1
Simmons Ltd,1,31,1,9,1,1,0
Reid-Mckee,1,49,1,11,0,1,0
Johnson Group,0,30,1,7,1,1,1
Ochoa-Miller,0,43,1,15,1,0,1
Davis Inc,1,8,0,3,0,0,1
Thomas-Stephens,0,21,0,3,0,0,1
Reese Ltd,1,20,1,7,1,1,0
Perry Group,0,24,0,12,0,1,1
Kirk-Russo,0,33,0,2,1,1,1
Mills Ltd,1,6,1,8,0,1,0
"Bell, Berry and Sharp",1,40,1,11,1,1,0
"Gomez, Gill and Jordan",0,5,0,15,1,0,1
"Hanson, Martinez and Glover",1,12,1,7,1,0,0
"Frank, Beltran and Johnson",1,23,1,20,1,1,0
"White, Perkins and Holt",1,7,1,6,0,0,0
"Martin, Montoya and Alexander",0,1,1,14,1,0,1
Lee LLC,1,8,0,19,0,1,1
Wilson Group,1,26,1,2,0,1,0
"Gordon, Johns and Atkinson",1,9,1,16,0,0,0
Mayer PLC,0,47,0,11,1,1,1
"Crawford, King and Allison",1,22,0,5,1,1,0
Hopkins-Clark,1,9,1,9,1,1,1
Parsons-Schultz,1,2,0,19,0,1,1
Davis-Kaiser,1,6,1,17,0,0,0
Allen and Sons,0,3,0,15,1,1,1
Ochoa LLC,0,33,1,0,0,0,1
Alvarez PLC,1,6,1,19,0,0,1
"Williams, Bryant and Fuller",1,47,1,3,0,1,0
Hicks Inc,0,50,1,15,1,0,1
Allen-Mcdonald,1,13,1,6,1,1,0
Armstrong-Pearson,1,5,1,4,1,0,0
Nelson-Stuart,1,3,0,6,0,0,1
Ray LLC,0,2,1,7,0,1,1
"Wright, Melton and Williams",0,19,1,5,1,0,1
"Benson, Frazier and Bond",1,18,1,8,0,1,1
Miller PLC,0,40,0,20,1,1,0
Richard-Jenkins,0,11,1,11,1,0,1
"Jones, Ryan and Carter",0,17,1,10,1,1,0
"Henderson, Johnson and Christensen",1,17,1,18,1,0,1
"Green, Lindsey and Nunez",0,18,1,20,1,1,0
Smith Ltd,0,43,1,6,1,1,1
Morgan and Sons,0,18,0,5,0,1,1
"Taylor, Singleton and Dickerson",0,30,1,19,1,1,1
Webb Group,1,49,0,17,1,0,0
"Conley, Guzman and Heath",1,45,1,20,1,1,1
"Ferguson, Delgado and George",0,48,0,11,1,0,1
Hughes Ltd,1,7,0,3,1,0,1
Weaver and Sons,1,39,1,16,1,1,0
Johnson Inc,0,6,1,4,0,0,0
Brady-Mitchell,1,13,1,13,1,1,1
"Martinez, Medina and Williams",0,0,0,12,1,0,1
Ortega Inc,1,20,0,19,0,0,1
Barnett Inc,0,3,0,6,1,1,1
Roberts Inc,1,38,1,14,0,1,0
Allen-Cooper,1,6,0,7,0,1,1
"Sanders, Harris and May",0,8,0,20,0,1,1
Carter-Reyes,1,42,1,16,1,1,0
Welch Ltd,1,23,0,18,1,0,1
Hart Ltd,0,24,1,8,1,1,0
Woodard-Lamb,0,33,1,3,1,1,0
Hatfield-White,1,38,1,6,1,0,0
Thompson Ltd,1,7,1,16,1,1,0
"Munoz, Burton and Austin",0,16,0,18,0,0,1
Fisher-Rangel,1,8,0,16,0,1,1
Curry Ltd,0,20,0,2,0,1,1
"Campbell, Sanchez and Turner",0,9,1,10,1,1,0
Taylor and Sons,0,34,1,0,0,1,0
Parker Inc,1,5,1,0,1,1,0
Gonzalez Inc,1,3,0,11,0,1,1
Thomas and Sons,0,32,1,19,0,0,1
"Miller, Dawson and Nichols",1,15,0,18,1,0,0
Smith-Wolfe,1,11,1,10,1,0,0
Turner-Collins,0,20,1,18,1,0,1
Webster Group,0,18,1,8,1,1,0
Little-Brown,0,43,0,9,1,1,1
Bush and Sons,1,45,0,14,0,1,0
"Mckenzie, Stephens and Johnson",0,15,0,20,1,1,1
"Clark, Larson and Hamilton",0,7,0,15,0,1,1
Larson-Daniel,1,5,1,2,1,1,0
Bell Inc,1,3,1,19,1,0,0
"Barker, Black and Williams",0,46,1,10,1,1,0
"Lee, Robinson and Burnett",1,6,1,19,0,1,1
Smith Ltd,1,39,1,6,1,1,0
Figueroa Group,1,23,0,17,1,1,0
"Cole, Coffey and Brady",1,41,0,18,0,0,1
Evans-Hunter,0,36,0,12,0,0,1
"Fowler, Anderson and Collins",0,22,1,12,0,1,1
Harris LLC,0,20,1,14,0,1,0
"Garza, Anderson and Wise",1,16,0,13,1,0,1
"Nichols, Moore and Valentine",0,33,1,4,1,1,0
Myers-Moore,0,9,1,10,1,1,0
Reed and Sons,1,15,0,10,1,1,1
Baker-Gonzalez,0,40,1,2,1,0,1
Green-Wilson,1,9,0,12,1,1,0
"Calhoun, Salazar and King",0,7,0,5,1,1,1
Townsend-Stanley,0,2,1,8,1,1,1
Garcia Ltd,0,41,1,7,1,1,1
"Clark, Williams and Wright",1,7,0,0,0,0,1
Martin-Walker,1,20,1,4,0,0,1
Calhoun Ltd,1,0,0,20,1,1,0
Mejia-Smith,1,41,1,2,0,0,1
"Ward, Hoffman and Berry",1,24,1,17,0,0,0
Moore Ltd,1,23,1,10,1,1,0
Suarez-Obrien,1,44,1,15,0,1,0
Davis Group,1,27,1,15,1,1,0
Alvarez PLC,1,0,0,9,1,1,0
"Clements, Cordova and Hudson",0,50,1,3,1,1,0
"Mayer, Ho and Wilson",0,30,0,20,1,0,1
Cox Inc,1,26,1,3,0,1,1
"Patterson, Smith and Hill",1,29,1,18,0,1,0
"Cooper, Larson and Reid",1,19,1,5,0,0,1
Carr Group,0,16,1,19,1,1,0
"Mcdonald, Harvey and Oliver",1,6,1,18,0,1,1
"Lane, Sanchez and Guzman",0,20,1,2,0,1,1
"Salinas, Davis and Ware",1,25,1,18,0,0,0
Smith PLC,1,29,0,0,1,1,1
"Dixon, Smith and Smith",1,10,1,10,0,0,1
Espinoza and Sons,1,18,0,0,1,1,0
Hughes and Sons,1,45,1,8,1,1,0
"Howard, Evans and Thomas",0,39,0,5,1,0,1
"Thomas, Stone and Glass",1,12,1,11,1,1,0
Cain-Gonzalez,0,6,1,20,1,0,1
Lamb-Brown,1,26,1,20,1,1,0
"Miller, Woods and Marsh",0,18,0,4,0,0,1
Hill-Brown,1,6,1,16,1,0,0
Johnson-Garcia,1,48,1,18,1,0,0
